Datetime,t,Région
2025-04-07 00:00:00+00:00,12.421249,Nouvelle-Aquitaine
2025-04-07 00:15:00+00:00,12.230625,Nouvelle-Aquitaine
2025-04-07 00:30:00+00:00,12.04,Nouvelle-Aquitaine
2025-04-07 00:45:00+00:00,11.849375,Nouvelle-Aquitaine
2025-04-07 01:00:00+00:00,11.658751,Nouvelle-Aquitaine
2025-04-07 01:15:00+00:00,11.477501,Nouvelle-Aquitaine
2025-04-07 01:30:00+00:00,11.29625,Nouvelle-Aquitaine
2025-04-07 01:45:00+00:00,11.115,Nouvelle-Aquitaine
2025-04-07 02:00:00+00:00,10.93375,Nouvelle-Aquitaine
2025-04-07 02:15:00+00:00,10.843125,Nouvelle-Aquitaine
2025-04-07 02:30:00+00:00,10.752501,Nouvelle-Aquitaine
2025-04-07 02:45:00+00:00,10.661875,Nouvelle-Aquitaine
2025-04-07 03:00:00+00:00,10.57125,Nouvelle-Aquitaine
2025-04-07 03:15:00+00:00,10.49,Nouvelle-Aquitaine
2025-04-07 03:30:00+00:00,10.408751,Nouvelle-Aquitaine
2025-04-07 03:45:00+00:00,10.3275,Nouvelle-Aquitaine
2025-04-07 04:00:00+00:00,10.24625,Nouvelle-Aquitaine
2025-04-07 04:15:00+00:00,10.12125,Nouvelle-Aquitaine
2025-04-07 04:30:00+00:00,9.99625,Nouvelle-Aquitaine
2025-04-07 04:45:00+00:00,9.87125,Nouvelle-Aquitaine
2025-04-07 05:00:00+00:00,9.74625,Nouvelle-Aquitaine
2025-04-07 05:15:00+00:00,9.7275,Nouvelle-Aquitaine
2025-04-07 05:30:00+00:00,9.70875,Nouvelle-Aquitaine
2025-04-07 05:45:00+00:00,9.69,Nouvelle-Aquitaine
2025-04-07 06:00:00+00:00,9.671249,Nouvelle-Aquitaine
2025-04-07 06:15:00+00:00,9.968124,Nouvelle-Aquitaine
2025-04-07 06:30:00+00:00,10.264999,Nouvelle-Aquitaine
2025-04-07 06:45:00+00:00,10.561874,Nouvelle-Aquitaine
2025-04-07 07:00:00+00:00,10.858749,Nouvelle-Aquitaine
2025-04-07 07:15:00+00:00,11.22125,Nouvelle-Aquitaine
2025-04-07 07:30:00+00:00,11.58375,Nouvelle-Aquitaine
2025-04-07 07:45:00+00:00,11.94625,Nouvelle-Aquitaine
2025-04-07 08:00:00+00:00,12.30875,Nouvelle-Aquitaine
2025-04-07 08:15:00+00:00,12.765,Nouvelle-Aquitaine
2025-04-07 08:30:00+00:00,13.221251,Nouvelle-Aquitaine
2025-04-07 08:45:00+00:00,13.6775,Nouvelle-Aquitaine
