numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20250101000000;102190;-160;8;200;2.500000;281.150000;278.250000;82;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101300;mq;mq;-790;mq;mq;mq;mq;277.250000;mq;mq;8.600000;10.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20250101000000;102060;-220;8;200;11.900000;280.950000;278.750000;86;26860;0;mq;mq;100;5;450;mq;mq;mq;101480;mq;mq;-920;mq;mq;mq;mq;277.250000;mq;mq;16.200000;18.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;480;5;mq;1440;8;mq;6660;mq;mq;mq;
07020;20250101000000;101980;-150;7;200;15.000000;284.050000;281.750000;86;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101870;mq;mq;-820;mq;mq;mq;mq;mq;mq;mq;20.100000;22.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20250101000000;102340;-160;8;190;8.600000;280.350000;277.950000;85;54100;0;mq;mq;mq;4;1250;mq;mq;mq;101510;mq;mq;-660;mq;mq;mq;mq;279.650000;mq;mq;12.100000;15.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;mq;1110;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20250101000000;102480;-140;8;210;9.800000;279.950000;277.450000;84;55060;0;mq;mq;100;8;450;mq;mq;mq;100550;mq;mq;-550;mq;mq;mq;mq;278.250000;mq;mq;14.200000;17.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;mq;540;8;mq;930;mq;mq;mq;mq;mq;mq;
07072;20250101000000;102710;-130;7;180;3.000000;276.650000;275.750000;94;17890;0;mq;mq;100;8;150;mq;mq;mq;101520;mq;mq;-450;mq;mq;mq;mq;275.650000;mq;mq;5.100000;11.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;7;mq;150;8;mq;1290;mq;mq;mq;mq;mq;mq;
07110;20250101000000;102220;-120;6;210;10.500000;284.650000;282.850000;89;18190;0;mq;mq;100;8;450;mq;mq;mq;101030;mq;mq;-710;mq;mq;mq;mq;282.850000;mq;mq;16.300000;17.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;6;mq;390;7;mq;540;8;mq;1080;mq;mq;mq;
07117;20250101000000;102110;-130;6;210;7.400000;284.850000;282.050000;83;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101410;mq;mq;-790;mq;mq;mq;mq;mq;mq;mq;14.500000;14.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20250101000000;102590;-150;8;180;6.200000;279.750000;278.350000;91;60000;0;mq;mq;100;8;450;mq;mq;mq;102130;mq;mq;-530;mq;mq;mq;mq;280.350000;mq;mq;9.200000;9.500000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;2;mq;360;8;mq;690;mq;mq;mq;mq;mq;mq;
07139;20250101000000;102700;-150;8;220;5.900000;278.850000;277.150000;89;20000;0;mq;mq;100;8;450;mq;mq;mq;100900;mq;mq;-390;mq;mq;mq;mq;279.450000;mq;mq;9.500000;9.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;360;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20250101000000;102780;-100;8;210;5.500000;276.950000;276.650000;98;3660;10;2;2;100;8;80;mq;mq;mq;101650;mq;mq;-390;mq;mq;mq;mq;mq;mq;mq;10.600000;10.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20250101000000;102940;-140;6;170;4.300000;273.750000;273.350000;97;14650;0;mq;mq;mq;3;150;mq;mq;mq;101440;mq;mq;-300;mq;mq;mq;mq;275.050000;mq;mq;6.300000;6.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;mq;120;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20250101000000;103010;-140;7;160;3.300000;272.850000;272.050000;94;18170;0;mq;mq;100;8;150;mq;mq;mq;98620;mq;mq;-230;mq;mq;mq;mq;272.750000;mq;mq;6.000000;6.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;180;8;mq;1110;mq;mq;mq;mq;mq;mq;
07190;20250101000000;103050;-80;8;210;3.200000;271.350000;271.350000;100;320;49;mq;mq;101;9;30;mq;mq;mq;101120;mq;mq;-260;mq;mq;mq;mq;270.650000;mq;mq;4.700000;4.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20250101000000;mq;mq;mq;210;13.100000;284.750000;mq;mq;15000;1;0;mq;10;1;800;35;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;16.300000;16.700000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.800000;mq;mq;mq;mq;1;6;700;mq;mq;mq;mq;mq;mq;mq;mq;mq;
